,index,country,points,price,variety
68,102,Italy,86,45.0,Sangiovese
69,107,US,86,10.0,Chardonnay
70,108,US,86,13.0,White Blend
71,109,US,86,45.0,Chardonnay
72,110,Portugal,86,12.0,Portuguese Red
73,111,Argentina,86,12.0,Rosé
74,113,US,86,25.0,Riesling
75,115,Argentina,86,15.0,Malbec
76,117,France,86,20.0,Rosé
77,119,Portugal,86,7.0,Portuguese Red
78,120,US,91,59.0,Pinot Noir
79,121,US,91,49.0,Pinot Noir
80,122,US,91,42.0,Sparkling Blend
81,123,US,91,93.0,Chardonnay
82,124,US,91,32.0,Pinot Noir
83,125,US,91,20.0,Pinot Noir
84,126,US,90,100.0,Zinfandel
85,127,US,90,50.0,Cabernet Sauvignon
86,128,Spain,90,22.0,Tempranillo
87,129,Italy,90,45.0,White Blend
88,131,US,90,45.0,Chardonnay
89,133,US,90,16.0,Chardonnay
90,134,US,90,30.0,Cabernet Sauvignon
91,136,US,90,38.0,Zinfandel
92,138,Spain,90,17.0,Tempranillo
93,139,France,90,18.0,Rosé
94,140,France,90,15.0,Rosé
95,141,US,90,28.0,Sauvignon Blanc
96,143,US,90,26.0,Chardonnay
97,145,US,90,55.0,Pinot Noir
98,146,US,90,36.0,Zinfandel
99,148,US,90,40.0,Syrah
100,150,US,89,50.0,Pinot Noir
101,152,Spain,89,17.0,Sparkling Blend
102,156,France,89,20.0,Bordeaux-style Red Blend
103,157,US,89,24.0,Sangiovese
104,158,Spain,89,44.0,Tempranillo
105,159,Chile,89,19.0,Red Blend
106,160,US,89,42.0,Bordeaux-style Red Blend
107,161,US,89,35.0,Pinot Noir
108,163,US,89,16.0,Syrah
109,165,US,89,36.0,Pinot Noir
110,166,Italy,89,25.0,Red Blend
111,167,Italy,89,22.0,Red Blend
112,169,US,89,25.0,Chardonnay
113,170,US,89,42.0,Pinot Noir
114,173,US,89,49.0,Pinot Noir
115,176,Italy,89,40.0,Sangiovese
116,177,Italy,89,57.0,Red Blend
117,178,US,89,29.0,Cabernet Sauvignon
118,179,Chile,89,61.0,Red Blend
119,180,US,88,25.0,Chardonnay
120,181,US,88,25.0,Syrah
121,182,US,88,49.0,Pinot Noir
122,184,Argentina,88,26.0,Bordeaux-style Red Blend
123,185,US,88,34.0,Bordeaux-style Red Blend
124,186,US,88,38.0,Zinfandel
125,187,US,88,38.0,Zinfandel
126,189,Spain,87,22.0,Red Blend
127,190,Argentina,87,15.0,Malbec
128,191,France,87,20.0,Bordeaux-style Red Blend
129,192,France,87,25.0,Bordeaux-style Red Blend
130,193,France,87,20.0,Bordeaux-style Red Blend
131,194,France,87,20.0,Bordeaux-style Red Blend
132,195,France,87,25.0,Bordeaux-style Red Blend
133,196,US,87,10.0,Chardonnay
134,197,US,87,18.0,Malbec
135,198,US,87,18.0,Chardonnay
136,199,US,87,14.0,Riesling
137,200,US,87,14.0,Riesling
138,202,France,87,18.0,Bordeaux-style Red Blend
139,203,France,87,20.0,Bordeaux-style Red Blend
140,205,US,87,11.0,Merlot
141,206,US,87,36.0,Cabernet Sauvignon
142,209,Spain,87,18.0,Sparkling Blend
143,210,Portugal,93,55.0,Portuguese Red
144,211,Italy,93,49.0,Nebbiolo
145,212,US,93,50.0,Zinfandel
146,213,Italy,93,58.0,Nebbiolo
147,214,France,93,39.0,Riesling
148,215,France,93,65.0,Riesling
149,217,Italy,93,80.0,Nebbiolo
150,218,France,93,42.0,Riesling
151,219,France,93,61.0,Riesling
152,222,France,93,48.0,Riesling
153,223,US,93,50.0,Zinfandel
154,224,Italy,93,58.0,Nebbiolo
155,226,US,93,50.0,Syrah
156,227,US,93,80.0,Cabernet Sauvignon
157,228,US,93,40.0,Syrah
158,229,Portugal,93,41.0,Portuguese Red
159,230,US,93,48.0,Cabernet Sauvignon
160,233,US,93,62.0,Cabernet Sauvignon
161,234,Italy,93,43.0,Nebbiolo
162,235,France,92,35.0,Riesling
163,236,France,92,48.0,Riesling
164,237,France,92,55.0,Riesling
165,238,Portugal,92,40.0,Portuguese Red
166,239,Italy,92,69.0,Nebbiolo
167,240,France,88,16.0,Bordeaux-style Red Blend
168,243,France,88,15.0,Bordeaux-style Red Blend
169,245,US,88,28.0,Chardonnay
170,246,US,88,36.0,Pinot Noir
171,248,US,88,24.0,Chardonnay
172,250,US,88,25.0,Merlot
173,251,Italy,88,34.0,Nebbiolo
174,252,US,88,60.0,Pinot Noir
175,253,US,88,54.0,Pinot Noir
176,255,Italy,88,56.0,Nebbiolo
177,256,US,88,20.0,Sauvignon Blanc
178,257,US,88,61.0,Pinot Noir
179,258,Italy,88,46.0,Nebbiolo
180,259,Spain,88,30.0,Tempranillo
181,263,US,88,39.0,Red Blend
182,264,Italy,88,49.0,Nebbiolo
183,265,France,88,23.0,Sauvignon Blanc
184,268,US,88,18.0,Chardonnay
185,269,Argentina,88,15.0,Cabernet Sauvignon
186,270,France,92,92.0,Pinot Noir
187,271,France,92,94.0,Chardonnay
188,272,US,92,58.0,Chardonnay
189,274,US,92,48.0,Sparkling Blend
190,275,US,92,32.0,Pinot Noir
191,279,US,92,43.0,Pinot Noir
192,283,France,92,30.0,Bordeaux-style Red Blend
193,284,US,92,100.0,Cabernet Sauvignon
194,285,US,92,35.0,Syrah
195,286,France,91,60.0,Chardonnay
196,287,France,91,16.0,Bordeaux-style Red Blend
197,288,France,91,40.0,Chardonnay
198,289,US,91,60.0,Pinot Noir
199,290,France,91,100.0,Pinot Noir
200,293,US,91,42.0,Syrah
201,295,US,91,20.0,Pinot Noir
202,298,US,91,38.0,Pinot Noir
203,299,US,91,32.0,Zinfandel
204,300,US,94,60.0,Syrah
205,301,US,94,30.0,Riesling
206,302,Italy,94,85.0,Red Blend
207,303,US,94,30.0,Riesling
208,304,US,94,65.0,Pinot Noir
209,305,New Zealand,94,57.0,Chardonnay
210,306,US,94,90.0,Pinot Noir
211,307,US,94,85.0,Pinot Noir
212,308,US,94,70.0,Pinot Noir
213,309,US,94,70.0,Pinot Noir
214,310,US,94,60.0,Pinot Noir
215,314,US,94,48.0,Pinot Noir
216,315,US,94,95.0,Cabernet Sauvignon
217,316,US,94,80.0,Sparkling Blend
218,317,US,94,49.0,Pinot Noir
219,319,US,94,50.0,Syrah
220,322,France,94,20.0,Rosé
221,324,US,94,95.0,Cabernet Sauvignon
222,326,Argentina,94,50.0,Cabernet Sauvignon
223,327,France,94,100.0,Rosé
224,328,France,94,70.0,Malbec
225,329,US,94,63.0,Chardonnay
226,330,Italy,91,75.0,Nebbiolo
227,332,US,91,50.0,Cabernet Sauvignon
228,334,US,91,45.0,Sauvignon Blanc
229,337,US,91,30.0,Pinot Noir
230,338,US,91,22.0,Syrah
231,340,Italy,91,90.0,Nebbiolo
232,341,US,91,60.0,Cabernet Sauvignon
233,343,US,91,55.0,Pinot Noir
234,346,US,91,48.0,Chardonnay
235,347,US,91,40.0,Chardonnay
236,349,Italy,91,60.0,Nebbiolo
237,350,US,91,50.0,Chardonnay
238,351,US,91,48.0,Pinot Noir
239,352,France,91,54.0,Chardonnay
240,353,Portugal,91,42.0,Portuguese Red
241,354,US,91,50.0,Sparkling Blend
242,356,US,91,40.0,Chardonnay
243,357,US,91,42.0,Pinot Noir
244,358,Italy,91,85.0,Nebbiolo
245,359,Spain,91,32.0,Tempranillo
246,360,US,90,41.0,Red Blend
247,363,France,90,33.0,Pinot Noir
248,364,France,90,70.0,Pinot Noir
249,365,US,90,19.0,Pinot Noir
250,372,US,90,45.0,Pinot Noir
251,373,France,90,80.0,Pinot Noir
252,379,US,90,15.0,Cabernet Sauvignon
253,380,US,90,15.0,Cabernet Sauvignon
254,381,US,90,24.0,Merlot
255,382,US,90,80.0,Red Blend
256,383,Spain,90,35.0,Tempranillo
257,385,Spain,90,28.0,Tempranillo
258,386,US,90,50.0,Cabernet Sauvignon
259,387,US,90,28.0,Cabernet Sauvignon
260,389,US,90,40.0,Cabernet Sauvignon
261,390,US,90,50.0,Chardonnay
262,391,US,90,75.0,Cabernet Sauvignon
263,392,Italy,90,60.0,Sangiovese
264,393,US,90,46.0,Malbec
265,397,Italy,90,60.0,Sangiovese
266,398,Italy,90,75.0,Sangiovese
267,400,Italy,90,95.0,Sangiovese
268,401,Italy,90,60.0,Sangiovese
269,402,Italy,90,70.0,Sangiovese
270,403,US,90,20.0,White Blend
271,406,US,90,75.0,Cabernet Sauvignon
272,407,US,90,28.0,Sauvignon Blanc
273,408,US,90,60.0,Chardonnay
274,409,US,90,22.0,Chardonnay
275,410,Spain,90,49.0,White Blend
276,412,Italy,90,90.0,Sangiovese
277,413,US,90,30.0,Chardonnay
278,414,US,90,35.0,Cabernet Sauvignon
279,416,US,90,22.0,Tempranillo
280,417,Italy,90,30.0,Sangiovese
281,418,Italy,90,32.0,Red Blend
282,419,Italy,90,35.0,Sangiovese
283,420,US,87,36.0,Cabernet Sauvignon
284,421,US,87,30.0,Zinfandel
285,424,Spain,87,18.0,Sparkling Blend
286,425,Spain,87,27.0,Tempranillo
287,426,US,87,20.0,Sauvignon Blanc
288,428,US,87,30.0,Chardonnay
289,429,US,87,20.0,Cabernet Sauvignon
290,430,US,87,23.0,Cabernet Sauvignon
291,432,Italy,87,75.0,Sangiovese
292,433,Italy,87,98.0,Sangiovese
293,435,US,87,20.0,Cabernet Sauvignon
294,436,US,87,22.0,Chardonnay
295,437,US,87,16.0,White Blend
296,440,Italy,87,17.0,Red Blend
297,441,US,87,17.0,Riesling
298,442,Spain,87,15.0,Tempranillo
299,445,US,87,38.0,Tempranillo
300,446,Spain,87,28.0,Red Blend
301,447,Italy,87,52.0,Sangiovese
302,448,Italy,87,58.0,Sangiovese
303,449,Italy,87,60.0,Sangiovese
304,450,Portugal,86,15.0,Rosé
305,451,Italy,86,15.0,White Blend
306,452,US,86,26.0,Chardonnay
307,453,US,86,32.0,Syrah
308,454,Portugal,86,10.0,Portuguese Red
309,455,Argentina,86,10.0,Sauvignon Blanc
310,458,US,86,35.0,Rosé
311,460,Argentina,86,23.0,Malbec
312,462,US,86,31.0,Cabernet Sauvignon
313,464,US,86,12.0,Merlot
314,465,US,86,18.0,Pinot Noir
315,466,France,86,10.0,White Blend
316,467,Argentina,86,15.0,Malbec
317,468,US,86,24.0,Chardonnay
318,470,US,86,14.0,Sauvignon Blanc
319,471,Portugal,86,15.0,Portuguese Red
320,474,US,86,12.0,Pinot Noir
321,475,US,86,32.0,Red Blend
322,480,US,89,49.0,Pinot Noir
323,483,Italy,89,43.0,Sangiovese
324,484,France,89,19.0,Red Blend
325,485,France,89,28.0,White Blend
326,488,US,89,35.0,Chardonnay
327,489,US,89,30.0,Bordeaux-style Red Blend
328,490,Italy,89,55.0,Cabernet Sauvignon
329,492,US,89,46.0,Pinot Noir
330,493,US,89,50.0,Pinot Noir
331,494,US,89,43.0,Red Blend
332,495,Portugal,89,45.0,Syrah
333,496,US,89,39.0,Syrah
334,497,Italy,89,30.0,Red Blend
335,498,Italy,89,45.0,Cabernet Sauvignon
336,499,Spain,89,23.0,Red Blend
337,501,US,89,65.0,Zinfandel
338,502,Chile,89,19.0,Red Blend
339,503,US,89,35.0,Syrah
340,504,US,89,60.0,Zinfandel
341,505,US,89,44.0,Pinot Noir
342,507,Italy,89,30.0,Red Blend
343,508,Spain,89,12.0,Tempranillo
344,509,Spain,89,18.0,Sparkling Blend
345,510,US,92,30.0,Chardonnay
346,512,Portugal,92,23.0,Portuguese Red
347,513,US,92,45.0,Zinfandel
348,515,US,92,98.0,Cabernet Sauvignon
349,516,US,92,40.0,Red Blend
350,518,US,92,60.0,Chardonnay
351,519,Portugal,92,70.0,Portuguese Red
352,520,US,92,68.0,Chardonnay
353,522,US,92,32.0,Chardonnay
354,523,US,92,45.0,Syrah
355,524,US,92,66.0,Chardonnay
356,525,France,92,29.0,Riesling
357,526,France,92,63.0,Riesling
358,527,US,92,32.0,Chardonnay
359,528,US,92,55.0,Chardonnay
360,530,Italy,92,45.0,Nebbiolo
361,532,Italy,92,50.0,Nebbiolo
362,533,France,92,18.0,Bordeaux-style Red Blend
363,534,Portugal,92,23.0,Portuguese Red
364,536,US,92,32.0,Chardonnay
365,537,Chile,92,30.0,Bordeaux-style Red Blend
366,539,US,92,44.0,Chardonnay
367,541,US,90,20.0,Zinfandel
368,543,France,90,50.0,Pinot Noir
369,544,France,90,45.0,Pinot Noir
370,545,US,90,23.0,Pinot Noir
371,546,US,90,49.0,Pinot Noir
372,550,France,90,59.0,Chardonnay
373,553,France,90,20.0,White Blend
374,557,US,90,42.0,Zinfandel
375,560,US,90,48.0,Pinot Noir
376,561,US,90,30.0,Chardonnay
377,563,US,90,40.0,Cabernet Sauvignon
378,564,Spain,90,20.0,Tempranillo
379,566,US,90,22.0,Merlot
380,568,US,90,15.0,Cabernet Sauvignon
381,569,US,90,15.0,Cabernet Sauvignon
382,570,US,94,62.0,Pinot Noir
383,571,US,94,49.0,Pinot Noir
384,572,France,94,25.0,Red Blend
385,573,US,94,95.0,Cabernet Sauvignon
386,574,US,94,55.0,Chardonnay
387,575,US,94,48.0,Chardonnay
388,578,US,94,68.0,Pinot Noir
389,579,US,94,90.0,Pinot Noir
390,581,US,93,60.0,Pinot Noir
391,584,US,93,85.0,Cabernet Sauvignon
392,585,US,93,60.0,Pinot Noir
393,586,Spain,93,64.0,Tempranillo
394,589,US,93,55.0,Syrah
395,590,US,93,58.0,Chardonnay
396,591,US,93,48.0,Pinot Noir
397,592,US,93,40.0,Zinfandel
398,593,US,93,60.0,Chardonnay
399,596,US,93,100.0,Cabernet Sauvignon
400,597,US,93,34.0,Zinfandel
401,598,Spain,93,91.0,Red Blend
402,600,US,91,40.0,Zinfandel
403,601,US,91,20.0,Chardonnay
404,602,US,91,55.0,Cabernet Sauvignon
405,605,US,91,45.0,Pinot Noir
406,611,Italy,91,41.0,White Blend
407,614,US,91,28.0,Chardonnay
408,616,US,91,38.0,Chardonnay
409,617,US,91,44.0,Red Blend
410,618,US,91,45.0,Pinot Noir
411,625,US,91,50.0,Sauvignon Blanc
412,627,France,91,25.0,Bordeaux-style Red Blend
413,628,Portugal,91,16.0,Portuguese Red
414,629,France,91,60.0,Chardonnay
415,630,US,90,38.0,Cabernet Sauvignon
416,631,Australia,90,20.0,Pinot Noir
417,632,Italy,90,75.0,Nebbiolo
418,633,Portugal,90,33.0,Portuguese Red
419,634,Italy,90,75.0,Nebbiolo
420,635,US,90,64.0,Bordeaux-style Red Blend
421,637,Italy,90,75.0,Nebbiolo
422,638,Italy,90,30.0,Nebbiolo
423,639,Italy,90,42.0,Nebbiolo
424,642,US,90,40.0,Pinot Noir
425,643,France,90,25.0,Malbec
426,647,France,90,13.0,Red Blend
427,648,France,90,45.0,Chardonnay
428,652,US,90,32.0,Tempranillo
429,653,Italy,90,88.0,Nebbiolo
430,654,US,90,57.0,Pinot Noir
431,656,US,90,24.0,Chardonnay
432,657,Italy,90,45.0,Nebbiolo
433,658,Italy,90,74.0,Nebbiolo
434,660,Australia,88,42.0,Pinot Noir
435,661,France,88,27.0,Sauvignon Blanc
436,662,Argentina,88,25.0,Malbec
437,663,France,88,35.0,Sauvignon Blanc
438,666,France,88,26.0,Bordeaux-style Red Blend
439,667,US,88,39.0,Chardonnay
440,668,France,88,25.0,Sauvignon Blanc
441,669,Italy,88,80.0,Nebbiolo
442,670,US,88,55.0,Pinot Noir
443,672,France,88,28.0,Sauvignon Blanc
444,673,US,88,25.0,Pinot Noir
445,674,US,88,48.0,Pinot Noir
446,677,Italy,88,77.0,Nebbiolo
447,678,US,88,18.0,Chardonnay
448,683,US,88,18.0,Merlot
449,685,US,88,65.0,Pinot Noir
450,686,US,88,25.0,Chardonnay
451,687,US,88,48.0,Pinot Noir
452,688,France,88,20.0,Pinot Noir
453,689,Spain,88,11.0,Tempranillo
454,690,US,90,55.0,Cabernet Sauvignon
455,691,Spain,90,35.0,Sparkling Blend
456,693,US,90,46.0,Chardonnay
457,694,US,90,55.0,Pinot Noir
458,695,US,90,30.0,Pinot Noir
459,697,US,90,27.0,Pinot Noir
460,698,US,90,28.0,Syrah
461,699,Italy,90,62.0,Sangiovese
462,700,US,90,48.0,Chardonnay
463,701,Italy,90,80.0,Sangiovese
464,702,US,90,36.0,Sauvignon Blanc
465,703,US,90,48.0,Red Blend
466,704,US,90,60.0,Chardonnay
467,707,US,90,45.0,Sangiovese
468,708,US,90,39.0,Zinfandel
469,709,US,90,25.0,Sauvignon Blanc
470,710,US,90,40.0,Bordeaux-style Red Blend
471,713,Italy,90,60.0,Sangiovese
472,715,US,90,85.0,Cabernet Sauvignon
473,717,Italy,90,25.0,Red Blend
474,718,US,90,15.0,Tempranillo
475,719,France,90,24.0,Rosé
476,720,US,86,18.0,Red Blend
477,725,US,85,15.0,Red Blend
478,726,France,85,9.0,Rosé
479,727,France,85,16.0,Red Blend
480,728,US,85,15.0,Cabernet Sauvignon
481,731,Portugal,85,11.0,Portuguese Red
482,732,France,85,12.0,Rosé
483,733,France,85,14.0,Malbec
484,735,US,85,12.0,Cabernet Sauvignon
485,736,US,85,18.0,Merlot
486,737,Argentina,85,14.0,Malbec
487,739,Argentina,85,13.0,White Blend
488,740,Portugal,85,10.0,Portuguese Red
489,742,Argentina,85,30.0,Bordeaux-style Red Blend
490,743,Spain,85,50.0,Red Blend
491,746,Argentina,85,15.0,Sparkling Blend
492,747,US,85,65.0,Cabernet Sauvignon
493,751,Spain,89,26.0,Red Blend
494,752,US,89,20.0,Chardonnay
495,753,US,89,25.0,Riesling
496,754,US,89,36.0,Chardonnay
497,756,US,89,36.0,Tempranillo
498,757,Italy,89,23.0,Red Blend
499,759,Italy,89,28.0,Red Blend
500,760,Chile,89,20.0,Cabernet Sauvignon
501,762,US,89,45.0,Pinot Noir
502,764,Chile,89,20.0,Pinot Noir
503,765,Italy,89,45.0,Red Blend
504,766,Chile,89,20.0,Syrah
505,767,US,89,28.0,Pinot Noir
506,768,US,89,42.0,Syrah
507,770,Chile,89,25.0,Cabernet Sauvignon
508,771,US,89,14.0,Riesling
509,772,US,89,18.0,Rosé
510,773,US,89,39.0,Red Blend
511,774,Italy,89,90.0,Red Blend
512,775,Portugal,89,18.0,Portuguese Red
513,776,Portugal,89,7.0,Portuguese Red
514,777,Portugal,89,17.0,Portuguese Red
515,778,Chile,89,17.0,Sauvignon Blanc
516,779,France,89,20.0,White Blend
517,780,Italy,87,50.0,Sangiovese
518,781,Italy,87,87.0,Sangiovese
519,782,US,87,28.0,Cabernet Sauvignon
520,784,US,87,36.0,Bordeaux-style Red Blend
521,787,France,87,35.0,Bordeaux-style Red Blend
522,789,France,87,30.0,Bordeaux-style Red Blend
523,790,US,87,28.0,Bordeaux-style Red Blend
524,791,Italy,87,20.0,Red Blend
525,793,US,87,32.0,Red Blend
526,794,US,87,28.0,Merlot
527,796,US,87,26.0,Syrah
528,797,US,87,32.0,Sauvignon Blanc
529,798,US,87,11.0,Cabernet Sauvignon
530,800,US,87,19.0,Syrah
531,801,US,87,22.0,Red Blend
532,802,US,87,28.0,Bordeaux-style Red Blend
533,804,US,87,20.0,Zinfandel
534,805,US,87,25.0,Red Blend
535,806,US,87,16.0,Chardonnay
536,808,US,87,25.0,Cabernet Sauvignon
537,809,France,87,10.0,Bordeaux-style Red Blend
538,812,US,90,48.0,Pinot Noir
539,813,US,90,30.0,Chardonnay
540,815,France,90,59.0,Chardonnay
541,818,France,90,20.0,White Blend
542,822,US,90,70.0,Cabernet Sauvignon
543,823,US,90,25.0,Riesling
544,825,Australia,90,65.0,Shiraz
545,826,US,90,42.0,Merlot
546,827,US,90,50.0,Cabernet Sauvignon
547,831,US,90,80.0,Red Blend
548,832,US,90,28.0,Tempranillo
549,833,Chile,90,24.0,Red Blend
550,836,US,90,40.0,Zinfandel
551,837,US,90,22.0,Syrah
552,840,US,90,55.0,Cabernet Sauvignon
553,841,Spain,90,35.0,Sparkling Blend
554,843,US,90,42.0,Merlot
555,844,Spain,90,25.0,Sparkling Blend
556,845,US,90,60.0,Cabernet Sauvignon
557,846,US,90,27.0,Pinot Noir
558,847,France,90,45.0,Chardonnay
559,850,US,90,48.0,Pinot Noir
560,853,France,90,80.0,Pinot Noir
561,854,France,90,19.0,Sauvignon Blanc
562,855,US,90,45.0,Pinot Noir
563,856,Italy,90,56.0,Sangiovese
564,857,France,90,24.0,Rosé
565,860,Italy,90,25.0,Red Blend
566,861,US,90,15.0,Tempranillo
567,862,Italy,90,22.0,Sangiovese
568,863,Italy,90,20.0,Red Blend
569,864,Spain,90,30.0,Tempranillo
570,865,Italy,90,30.0,Red Blend
571,866,Italy,90,18.0,Red Blend
572,867,Italy,90,22.0,Sangiovese
573,868,Italy,90,28.0,Red Blend
574,869,US,90,40.0,Cabernet Sauvignon
575,871,US,92,44.0,Chardonnay
576,872,US,92,32.0,Chardonnay
577,873,Chile,92,30.0,Bordeaux-style Red Blend
578,875,France,92,30.0,Riesling
579,876,Italy,92,92.0,Nebbiolo
580,877,Italy,92,75.0,Nebbiolo
581,878,US,92,50.0,Zinfandel
582,879,US,92,27.0,Chardonnay
583,881,Italy,92,19.0,Nebbiolo
584,882,Portugal,92,11.0,Portuguese Red
585,883,Portugal,92,44.0,Portuguese Red
586,884,France,92,24.0,Riesling
587,885,US,92,15.0,Riesling
588,886,US,92,35.0,Syrah
589,887,US,92,33.0,Cabernet Sauvignon
590,890,US,92,75.0,Cabernet Sauvignon
591,892,Chile,92,100.0,Red Blend
592,893,US,92,21.0,Riesling
593,894,US,92,80.0,Red Blend
594,895,US,92,28.0,Cabernet Sauvignon
595,896,US,92,40.0,Chardonnay
596,897,Italy,92,40.0,White Blend
597,900,Argentina,93,40.0,Malbec
598,901,US,93,40.0,Syrah
599,902,US,93,65.0,Chardonnay
600,905,US,93,28.0,Syrah
601,906,US,93,51.0,Chardonnay
602,907,France,93,50.0,Rosé
603,908,France,93,34.0,Rosé
604,909,France,93,50.0,Malbec
605,910,France,93,30.0,Rosé
606,911,France,93,40.0,Rosé
607,912,US,93,30.0,Cabernet Sauvignon
608,913,US,93,45.0,Sauvignon Blanc
609,914,US,93,32.0,Red Blend
610,917,US,93,60.0,Syrah
611,918,US,93,70.0,Pinot Noir
612,920,US,93,60.0,Pinot Noir
613,921,US,93,80.0,Sparkling Blend
614,923,US,93,32.0,Syrah
615,924,Spain,93,61.0,Tempranillo
616,925,US,93,60.0,Pinot Noir
617,926,US,93,45.0,Chardonnay
618,927,US,93,60.0,Pinot Noir
619,928,US,93,80.0,Pinot Noir
620,929,US,93,85.0,Pinot Noir
621,930,Italy,89,90.0,Red Blend
622,931,Portugal,89,18.0,Portuguese Red
623,932,Portugal,89,7.0,Portuguese Red
624,933,Portugal,89,17.0,Portuguese Red
625,935,US,89,39.0,Red Blend
626,936,Chile,89,17.0,Sauvignon Blanc
627,937,France,89,20.0,White Blend
628,938,Chile,89,22.0,Sauvignon Blanc
629,939,US,89,25.0,Chardonnay
630,943,Chile,89,26.0,Red Blend
631,944,Italy,89,27.0,Red Blend
632,945,US,89,25.0,Sparkling Blend
633,946,Italy,89,22.0,Red Blend
634,948,Chile,89,20.0,Cabernet Sauvignon
635,949,Italy,89,65.0,Cabernet Sauvignon
636,951,Italy,89,52.0,Red Blend
637,952,US,89,25.0,Rosé
638,953,US,89,65.0,Cabernet Sauvignon
639,955,Italy,89,35.0,Red Blend
640,956,US,89,40.0,Pinot Noir
641,957,Portugal,89,18.0,Portuguese Red
642,958,US,89,26.0,Pinot Noir
643,961,US,90,28.0,Tempranillo
644,962,Portugal,90,18.0,Portuguese Red
645,963,US,90,40.0,Red Blend
646,967,US,90,72.0,Pinot Noir
647,969,US,90,44.0,Pinot Noir
648,971,Italy,90,70.0,Nebbiolo
649,973,US,90,36.0,Chardonnay
650,975,US,90,70.0,Chardonnay
651,976,US,90,48.0,Pinot Noir
652,978,Italy,90,42.0,Nebbiolo
653,982,Italy,90,100.0,Nebbiolo
654,983,Italy,90,40.0,Nebbiolo
655,984,Italy,90,68.0,Nebbiolo
656,985,Spain,90,24.0,Tempranillo
657,986,Italy,90,52.0,Nebbiolo
658,987,Australia,90,65.0,Pinot Noir
659,988,US,90,37.0,Pinot Noir
660,989,US,90,28.0,Sparkling Blend
661,991,US,85,13.0,Chardonnay
662,997,France,85,15.0,Sauvignon Blanc
663,998,France,85,9.0,White Blend
664,999,Argentina,85,11.0,Malbec
665,1001,US,85,20.0,Chardonnay
666,1004,Portugal,85,7.0,Portuguese Red
667,1007,Argentina,85,12.0,Malbec
668,1010,US,85,100.0,Cabernet Sauvignon
669,1012,France,85,16.0,Rosé
670,1014,France,85,15.0,Chardonnay
671,1015,Portugal,85,10.0,Portuguese Red
672,1016,Portugal,85,9.0,Portuguese Red
673,1017,France,85,12.0,White Blend
674,1018,US,85,30.0,Chardonnay
675,1021,US,91,65.0,Pinot Noir
676,1023,US,91,32.0,Pinot Noir
677,1025,Portugal,91,35.0,Portuguese Red
